topicId,trackId,moduleId,title,profile,profileLabel,codeQuestionsInTopicQuiz,practicalQuestionsInTopicQuiz,topicQuizQuestionCount,rationale,packetPatchPath
JS-18,javascript,JS-M06,Efficient Script Loading,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/javascript/js-m06-dom-internals-and-script-loading/js-18-efficient-script-loading.json
JS-19,javascript,JS-M07,OOP Foundations and JavaScript's Object Model,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/javascript/js-m07-object-oriented-javascript/js-19-oop-foundations-and-javascript-s-object-model.json
JS-20,javascript,JS-M07,"Prototypes, the Prototype Chain, and `Object.create`",coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m07-object-oriented-javascript/js-20-prototypes-the-prototype-chain-and-object-create.json
JS-21,javascript,JS-M07,Inheritance Patterns and ES6 Classes,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m07-object-oriented-javascript/js-21-inheritance-patterns-and-es6-classes.json
JS-22,javascript,JS-M08,Planning a Web Project — Mapty Case Study,workflow,Developer workflow and decision scenarios,0,4,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/javascript/js-m08-project-planning-mapty/js-22-planning-a-web-project-mapty-case-study.json
JS-23,javascript,JS-M09,Asynchronous JavaScript and the Web Request Model,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/javascript/js-m09-asynchronous-javascript/js-23-asynchronous-javascript-and-the-web-request-model.json
JS-24,javascript,JS-M09,Promises and the Fetch API,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m09-asynchronous-javascript/js-24-promises-and-the-fetch-api.json
JS-25,javascript,JS-M09,The Event Loop and Async Execution,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/javascript/js-m09-asynchronous-javascript/js-25-the-event-loop-and-async-execution.json
JS-26,javascript,JS-M10,Modern Development Workflow and Modules,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/javascript/js-m10-modern-javascript-development/js-26-modern-development-workflow-and-modules.json
JS-27,javascript,JS-M10,"Clean, Modern, and Declarative JavaScript",hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/javascript/js-m10-modern-javascript-development/js-27-clean-modern-and-declarative-javascript.json
JS-28,javascript,JS-M11,Forkify Application Planning,workflow,Developer workflow and decision scenarios,0,4,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/javascript/js-m11-application-architecture-forkify/js-28-forkify-application-planning.json
JS-29,javascript,JS-M11,MVC and Publisher–Subscriber Architecture,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/javascript/js-m11-application-architecture-forkify/js-29-mvc-and-publisher-subscriber-architecture.json
JS-30,javascript,JS-M11,Forkify Capstone Retrospective,workflow,Developer workflow and decision scenarios,0,4,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/javascript/js-m11-application-architecture-forkify/js-30-forkify-capstone-retrospective.json
R-01,react,R-M01,Course Orientation,conceptual,Conceptual and mental-model review,0,3,5,"The topic is primarily definitions, mental models, comparisons, or framework purpose. Scenario MCQs are more appropriate than forced code trivia.",patched-topic-packets/content/react/r-m01-react-orientation/r-01-course-orientation.json
R-02,react,R-M01,Why Front-End Frameworks and React Exist,conceptual,Conceptual and mental-model review,0,3,5,"The topic is primarily definitions, mental models, comparisons, or framework purpose. Scenario MCQs are more appropriate than forced code trivia.",patched-topic-packets/content/react/r-m01-react-orientation/r-02-why-front-end-frameworks-and-react-exist.json
R-03,react,R-M01,Setting Up a React Project,workflow,Developer workflow and decision scenarios,2,5,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/react/r-m01-react-orientation/r-03-setting-up-a-react-project.json
R-04,react,R-M02,"Components, JSX, and Separation of Concerns",coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m02-components-jsx-and-props/r-04-components-jsx-and-separation-of-concerns.json
R-05,react,R-M02,"Props, Immutability, and One-Way Data Flow",coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m02-components-jsx-and-props/r-05-props-immutability-and-one-way-data-flow.json
R-06,react,R-M02,JSX Rules and Fundamentals Recap,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m02-components-jsx-and-props/r-06-jsx-rules-and-fundamentals-recap.json
R-07,react,R-M03,State Fundamentals,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m03-state-and-thinking-in-react/r-07-state-fundamentals.json
R-08,react,R-M03,"Thinking in React, State Management, and Derived State",hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/react/r-m03-state-and-thinking-in-react/r-08-thinking-in-react-state-management-and-derived-state.json
R-09,react,R-M04,Reusability with the `children` Prop,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m04-component-design-and-reusability/r-09-reusability-with-the-children-prop.json
R-10,react,R-M04,Designing Component Trees,workflow,Developer workflow and decision scenarios,2,5,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/react/r-m04-component-design-and-reusability/r-10-designing-component-trees.json
R-11,react,R-M04,Composition and Props as Component APIs,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m04-component-design-and-reusability/r-11-composition-and-props-as-component-apis.json
R-12,react,R-M05,"Components, Instances, Elements, and Rendering Overview",conceptual,Conceptual and mental-model review,0,3,5,"The topic is primarily definitions, mental models, comparisons, or framework purpose. Scenario MCQs are more appropriate than forced code trivia.",patched-topic-packets/content/react/r-m05-how-react-renders/r-12-components-instances-elements-and-rendering-overview.json
R-13,react,R-M05,Render and Commit Phases,conceptual,Conceptual and mental-model review,0,3,5,"The topic is primarily definitions, mental models, comparisons, or framework purpose. Scenario MCQs are more appropriate than forced code trivia.",patched-topic-packets/content/react/r-m05-how-react-renders/r-13-render-and-commit-phases.json
R-14,react,R-M05,"Diffing, Keys, and State Preservation",hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/react/r-m05-how-react-renders/r-14-diffing-keys-and-state-preservation.json
R-15,react,R-M05,Pure Render Logic and State Batching,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m05-how-react-renders/r-15-pure-render-logic-and-state-batching.json
R-16,react,R-M05,How Events Work in React,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m05-how-react-renders/r-16-how-events-work-in-react.json
R-17,react,R-M05,React Ecosystem Overview,conceptual,Conceptual and mental-model review,0,3,5,"The topic is primarily definitions, mental models, comparisons, or framework purpose. Scenario MCQs are more appropriate than forced code trivia.",patched-topic-packets/content/react/r-m05-how-react-renders/r-17-react-ecosystem-overview.json
R-18,react,R-M06,Component Lifecycle and Effects,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/react/r-m06-effects-and-hooks/r-18-component-lifecycle-and-effects.json
R-19,react,R-M06,Effect Dependencies and Cleanup,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m06-effects-and-hooks/r-19-effect-dependencies-and-cleanup.json
R-20,react,R-M06,Rules of Hooks and `useState` Recap,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m06-effects-and-hooks/r-20-rules-of-hooks-and-usestate-recap.json
R-21,react,R-M06,Refs and Custom Hooks,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m06-effects-and-hooks/r-21-refs-and-custom-hooks.json
R-22,react,R-M06,Class Components vs. Function Components,conceptual,Conceptual and mental-model review,0,3,5,"The topic is primarily definitions, mental models, comparisons, or framework purpose. Scenario MCQs are more appropriate than forced code trivia.",patched-topic-packets/content/react/r-m06-effects-and-hooks/r-22-class-components-vs-function-components.json
R-23,react,R-M07,`useReducer` and Choosing State Tools,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m07-complex-state-routing-and-styling/r-23-usereducer-and-choosing-state-tools.json
R-24,react,R-M07,Routing and Single-Page Applications,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/react/r-m07-complex-state-routing-and-styling/r-24-routing-and-single-page-applications.json
R-25,react,R-M07,Styling Options for React Applications,workflow,Developer workflow and decision scenarios,2,5,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/react/r-m07-complex-state-routing-and-styling/r-25-styling-options-for-react-applications.json
R-26,react,R-M08,Context API and Advanced State Management,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/react/r-m08-context-and-advanced-state-management/r-26-context-api-and-advanced-state-management.json
R-27,react,R-M09,Wasted Renders and Memoization,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m09-performance-and-advanced-effects/r-27-wasted-renders-and-memoization.json
R-28,react,R-M09,Code Splitting and Pragmatic Optimization,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/react/r-m09-performance-and-advanced-effects/r-28-code-splitting-and-pragmatic-optimization.json
R-29,react,R-M09,`useEffect` Rules and Best Practices,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m09-performance-and-advanced-effects/r-29-useeffect-rules-and-best-practices.json
R-30,react,R-M10,Redux Fundamentals,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m10-redux/r-30-redux-fundamentals.json
R-31,react,R-M10,"Middleware, Thunks, and Redux Toolkit",coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/react/r-m10-redux/r-31-middleware-thunks-and-redux-toolkit.json
R-32,react,R-M10,Redux vs. Context API,workflow,Developer workflow and decision scenarios,2,5,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/react/r-m10-redux/r-32-redux-vs-context-api.json
R-33,react,R-M11,Fast React Pizza Application Planning,workflow,Developer workflow and decision scenarios,0,4,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/react/r-m11-professional-react-workflows-and-ecosystem/r-33-fast-react-pizza-application-planning.json
R-34,react,R-M11,Tailwind CSS Overview,workflow,Developer workflow and decision scenarios,2,5,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/react/r-m11-professional-react-workflows-and-ecosystem/r-34-tailwind-css-overview.json
R-35,react,R-M11,Wild Oasis Application Planning,workflow,Developer workflow and decision scenarios,0,4,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/react/r-m11-professional-react-workflows-and-ecosystem/r-35-wild-oasis-application-planning.json
R-36,react,R-M11,Supabase Overview,workflow,Developer workflow and decision scenarios,2,5,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/react/r-m11-professional-react-workflows-and-ecosystem/r-36-supabase-overview.json
R-37,react,R-M11,Modeling Application State and React Query,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/react/r-m11-professional-react-workflows-and-ecosystem/r-37-modeling-application-state-and-react-query.json
R-38,react,R-M11,Reusability and Advanced React Patterns,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/react/r-m11-professional-react-workflows-and-ecosystem/r-38-reusability-and-advanced-react-patterns.json
N-01,nextjs,N-M01,Server-Side Rendering and Hydration,conceptual,Conceptual and mental-model review,0,3,5,"The topic is primarily definitions, mental models, comparisons, or framework purpose. Scenario MCQs are more appropriate than forced code trivia.",patched-topic-packets/content/nextjs/n-m01-rendering-foundations/n-01-server-side-rendering-and-hydration.json
N-02,nextjs,N-M01,What Next.js Is and Why It Exists,conceptual,Conceptual and mental-model review,0,3,5,"The topic is primarily definitions, mental models, comparisons, or framework purpose. Scenario MCQs are more appropriate than forced code trivia.",patched-topic-packets/content/nextjs/n-m01-rendering-foundations/n-02-what-next-js-is-and-why-it-exists.json
N-03,nextjs,N-M02,React Server Components: Fundamentals,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/nextjs/n-m02-react-server-components/n-03-react-server-components-fundamentals.json
N-04,nextjs,N-M02,RSC Internals and Relationship to SSR,conceptual,Conceptual and mental-model review,0,3,5,"The topic is primarily definitions, mental models, comparisons, or framework purpose. Scenario MCQs are more appropriate than forced code trivia.",patched-topic-packets/content/nextjs/n-m02-react-server-components/n-04-rsc-internals-and-relationship-to-ssr.json
N-05,nextjs,N-M03,Wild Oasis Website Planning,workflow,Developer workflow and decision scenarios,2,5,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/nextjs/n-m03-project-planning/n-05-wild-oasis-website-planning.json
N-06,nextjs,N-M04,React Suspense and Streaming,hybrid,Mental model plus practical code reasoning,4,5,5,"The topic combines an important model with implementation consequences, so both explanation and code reasoning are required.",patched-topic-packets/content/nextjs/n-m04-streaming-rendering-strategies-and-caching/n-06-react-suspense-and-streaming.json
N-07,nextjs,N-M04,"Static, Dynamic, and Partial Pre-Rendering",workflow,Developer workflow and decision scenarios,2,5,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/nextjs/n-m04-streaming-rendering-strategies-and-caching/n-07-static-dynamic-and-partial-pre-rendering.json
N-08,nextjs,N-M04,How Next.js Caches Data,workflow,Developer workflow and decision scenarios,2,5,5,"The learner should make realistic development decisions using requirements, logs, file structures, configuration, or short code artifacts.",patched-topic-packets/content/nextjs/n-m04-streaming-rendering-strategies-and-caching/n-08-how-next-js-caches-data.json
N-09,nextjs,N-M05,Server and Client Boundaries,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/nextjs/n-m05-server-and-client-architecture/n-09-server-and-client-boundaries.json
N-10,nextjs,N-M05,Middleware in Next.js,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/nextjs/n-m05-server-and-client-architecture/n-10-middleware-in-next-js.json
N-11,nextjs,N-M05,Server Actions,coding,"Code-reading, debugging, and implementation challenge",4,5,5,"The topic represents a day-to-day coding skill. The topic quiz must primarily test code reading, debugging, output prediction, or implementation choice.",patched-topic-packets/content/nextjs/n-m05-server-and-client-architecture/n-11-server-actions.json
